t,theta_0,x_0,y_0
0.0,100.53096491487338,8.8,-3.448605386398947e-14
0.01,100.52982860103111,8.79989485126388,-0.009999446633809307
0.02,100.52869227434593,8.79977833890007,-0.019998767316128114
0.03,100.5275559348174,8.799650462930583,-0.02999794913135387
0.04,100.52641958244509,8.79951122339211,-0.039996979163715675
0.05,100.52528321722855,8.79936062033602,-0.049995844497200424
0.06,100.52414683916736,8.799198653828364,-0.05999453221544441
0.07,100.52301044826108,8.799025323949866,-0.06999302940200006
0.08,100.52187404450926,8.798840630795938,-0.07999132314022762
0.09,100.52073762791149,8.798644574476667,-0.08998940051318671
0.1,100.51960119846731,8.79843715511682,-0.09998724860390319
0.11,100.51846475617631,8.798218372855859,-0.10998485449513565
0.12,100.51732830103803,8.79798822784791,-0.11998220526976719
0.13,100.51619183305205,8.797746720261793,-0.12997928801032207
0.14,100.51505535221793,8.797493850281018,-0.13997608979923246
0.15,100.51391885853522,8.797229618103769,-0.14997259771910498
0.16,100.51278235200351,8.796954023942922,-0.15996879885211251
0.17,100.51164583262235,8.79666706802603,-0.16996468028076078
0.18,100.5105093003913,8.796368750595345,-0.17996022908728018
0.19,100.50937275530994,8.796059071907798,-0.1899554323540173
0.2,100.50823619737781,8.795738032235006,-0.19995027716332672
0.21,100.5070996265945,8.79540563186328,-0.20994475059746276
0.22,100.50596304295955,8.795061871093617,-0.21993883973884587
0.23,100.50482644647253,8.7947067502417,-0.22993253166995475
0.24,100.50368983713302,8.794340269637905,-0.23992581347321776
0.25,100.50255321494058,8.793962429627294,-0.2499186722312796
0.26,100.50141657989475,8.793573230569622,-0.25991109502689325
0.27,100.50027993199512,8.793172672839336,-0.26990306894281146
0.28,100.49914327124125,8.792760756825567,-0.2798945810620534
0.29,100.4980065976327,8.792337482932146,-0.28988561846779654
0.3,100.49686991116903,8.79190285157759,-0.2998761682432684
0.31,100.49573321184981,8.791456863195105,-0.3098662174720129
0.32,100.4945964996746,8.790999518232594,-0.31985575323778226
0.33,100.49345977464297,8.790530817152653,-0.32984476262442913
0.34,100.49232303675447,8.79005076043256,-0.3398332327162974
0.35000000000000003,100.49118628600867,8.7895593485643,-0.3498211505977396
0.36,100.49004952240514,8.789056582054545,-0.35980850335338366
0.37,100.48891274594345,8.78854246142466,-0.36979527806827406
0.38,100.48777595662315,8.788016987210701,-0.37978146182776407
0.39,100.48663915444381,8.787480159963417,-0.38976704171753174
0.4,100.48550233940499,8.786931980248253,-0.39975200482347284
0.41000000000000003,100.48436551150624,8.786372448645341,-0.4097363382320911
0.42,100.48322867074715,8.785801565749527,-0.4197200290298916
0.43,100.48209181712727,8.785219332170321,-0.42970306430414545
0.44,100.48095495064617,8.784625748531953,-0.4396854311422837
0.45,100.4798180713034,8.784020815473328,-0.449667116632287
0.46,100.47868117909853,8.783404533648055,-0.4596481078625788
0.47000000000000003,100.47754427403113,8.782776903724436,-0.46962839192191663
0.48,100.47640735610076,8.782137926385465,-0.4796079558996584
0.49,100.47527042530699,8.781487602328824,-0.4895867868856546
0.5,100.47413348164936,8.780825932266893,-0.49956487197026467
0.51,100.47299652512746,8.780152916926754,-0.5095421982442495
0.52,100.47185955574083,8.779468557050171,-0.5195187527990369
0.53,100.47072257348906,8.778772853393603,-0.5294945227266143
0.54,100.46958557837169,8.778065806728211,-0.5394694951194206
0.55,100.4684485703883,8.777347417839838,-0.5494436570706116
0.56,100.46731154953845,8.776617687529024,-0.5594169956739529
0.5700000000000001,100.46617451582169,8.775876616610995,-0.5693894980238363
0.58,100.4650374692376,8.775124205915688,-0.5793611512151718
0.59,100.46390040978572,8.7743604562877,-0.5893319423437786
0.6,100.46276333746563,8.773585368586357,-0.5993018585059029
0.61,100.4616262522769,8.772798943685657,-0.6092708867984833
0.62,100.46048915421908,8.772001182474284,-0.6192390143194186
0.63,100.45935204329173,8.771192085855626,-0.6292062281670842
0.64,100.45821491949442,8.770371654747754,-0.6391725154407235
0.65,100.45707778282673,8.769539890083436,-0.6491378632402155
0.66,100.4559406332882,8.768696792810116,-0.6591022586664649
0.67,100.45480347087839,8.767842363889946,-0.669065688820921
0.68,100.45366629559688,8.766976604299746,-0.6790281408059673
0.6900000000000001,100.45252910744323,8.766099515031053,-0.6889896017246901
0.7000000000000001,100.45139190641699,8.765211097090058,-0.6989500586812686
0.71,100.45025469251773,8.764311351497666,-0.7089094987804927
0.72,100.44911746574502,8.763400279289458,-0.7188679091281546
0.73,100.44798022609842,8.762477881515709,-0.7288252768308151
0.74,100.44684297357749,8.761544159241367,-0.7387815889961953
0.75,100.44570570818179,8.76059911354608,-0.7487368327326941
0.76,100.44456842991089,8.75964274552417,-0.7586909951497788
0.77,100.44343113876434,8.758675056284646,-0.7686440633578782
0.78,100.4422938347417,8.757696046951201,-0.7785960244683976
0.79,100.44115651784256,8.756705718662225,-0.7885468655936128
0.8,100.44001918806646,8.755704072570772,-0.7984965738469346
0.81,100.43888184541296,8.754691109844586,-0.8084451363428016
0.8200000000000001,100.43774448988165,8.753666831666099,-0.8183925401965725
0.8300000000000001,100.43660712147206,8.752631239232398,-0.8283387725249156
0.84,100.43546974018378,8.751584333755282,-0.8382838204453285
0.85,100.43433234601635,8.750526116461211,-0.8482276710765277
0.86,100.43319493896934,8.749456588591322,-0.8581703115383411
0.87,100.43205751904232,8.748375751401445,-0.8681117289516
0.88,100.43092008623483,8.747283606162064,-0.8780519104385298
0.89,100.42978264054646,8.746180154158358,-0.887990843122268
0.9,100.42864518197676,8.745065396690173,-0.897928514127255
0.91,100.42750771052529,8.743939335072032,-0.9078649105791263
0.92,100.42637022619162,8.742801970633135,-0.9178000196046046
0.93,100.4252327289753,8.741653304717335,-0.9277338283318892
0.9400000000000001,100.4240952188759,8.740493338683185,-0.9376663238901769
0.9500000000000001,100.42295769589299,8.739322073903892,-0.9475974934100502
0.96,100.42182016002613,8.738139511767345,-0.9575273240232455
0.97,100.42068261127487,8.736945653676077,-0.9674558028630434
0.98,100.41954504963878,8.735740501047315,-0.9773829170637887
0.99,100.41840747511742,8.734524055312928,-0.9873086537614019
1.0,100.41726988771035,8.733296317919475,-0.9972330000929023
1.01,100.41613228741714,8.732057290328182,-1.0071559431966703
1.02,100.41499467423735,8.730806974014907,-1.0170774702127139
1.03,100.41385704817054,8.729545370470207,-1.0269975682821888
1.04,100.41271940921627,8.728272481199262,-1.0369162245479104
1.05,100.4115817573741,8.726988307721948,-1.0468334261538765
1.06,100.41044409264359,8.72569285157278,-1.0567491602456536
1.07,100.40930641502432,8.724386114300959,-1.0666634139701474
1.08,100.40816872451583,8.723068097470293,-1.0765761744759903
1.09,100.4070310211177,8.72173880265929,-1.0864874289130635
1.1,100.40589330482949,8.720398231461097,-1.0963971644328845
1.11,100.40475557565075,8.71904638548351,-1.1063053681885002
1.12,100.40361783358105,8.717683266348978,-1.1162120273345038
1.1300000000000001,100.40248007861994,8.716308875694597,-1.1261171290270515
1.1400000000000001,100.401342310767,8.714923215172137,-1.1360206604237548
1.1500000000000001,100.40020453002178,8.713526286447978,-1.14592260868407
1.16,100.39906673638384,8.71211809120318,-1.1558229609688178
1.17,100.39792892985275,8.710698631133434,-1.1657217044405732
1.18,100.39679111042807,8.709267907949073,-1.1756188262635578
1.19,100.39565327810935,8.707825923375074,-1.1855143136036557
1.2,100.39451543289617,8.706372679151073,-1.1954081536283079
1.21,100.39337757478808,8.704908177031308,-1.2053003335068988
1.22,100.39223970378464,8.703432418784695,-1.2151908404102794
1.23,100.39110181988542,8.701945406194769,-1.2250796615111537
1.24,100.38996392308998,8.700447141059694,-1.2349667839839729
1.25,100.38882601339787,8.69893762519228,-1.2448521950049523
1.26,100.38768809080867,8.697416860419953,-1.2547358817520853
1.27,100.38655015532193,8.695884848584807,-1.2646178314050414
1.28,100.3854122069372,8.694341591543516,-1.2744980311455483
1.29,100.38427424565407,8.692787091167418,-1.2843764681569187
1.3,100.38313627147208,8.69122134934247,-1.2942531296244348
1.31,100.3819982843908,8.689644367969242,-1.3041280027352427
1.32,100.38086028440979,8.688056148962936,-1.3140010746783692
1.33,100.3797222715286,8.686456694253364,-1.3238723326447377
1.34,100.37858424574682,8.68484600578499,-1.333741763827063
1.35,100.37744620706398,8.68322408551685,-1.3436093554202357
1.36,100.37630815547966,8.681590935422633,-1.3534750946208478
1.37,100.37517009099342,8.679946557490632,-1.3633389686275788
1.3800000000000001,100.37403201360482,8.678290953723742,-1.3732009646410877
1.3900000000000001,100.37289392331341,8.676624126139481,-1.3830610698640322
1.4000000000000001,100.37175582011876,8.674946076769963,-1.3929192715010823
1.41,100.37061770402043,8.67325680766192,-1.4027755567589404
1.42,100.36947957501798,8.671556320876682,-1.4126299128463546
1.43,100.36834143311097,8.669844618490211,-1.4224823269740154
1.44,100.36720327829896,8.668121702593023,-1.4323327863549389
1.45,100.36606511058152,8.666387575290281,-1.442181278203994
1.46,100.3649269299582,8.66464223870172,-1.4520277897382847
1.47,100.36378873642857,8.662885694961677,-1.4618723081770484
1.48,100.3626505299922,8.661117946219077,-1.4717148207416677
1.49,100.36151231064862,8.659338994637443,-1.4815553146556901
1.5,100.36037407839741,8.657548842394885,-1.491393777144844
1.51,100.35923583323815,8.65574749168412,-1.5012301954369327
1.52,100.35809757517036,8.653934944712418,-1.5110645567622187
1.53,100.35695930419364,8.65211120370167,-1.5208968483529506
1.54,100.35582102030752,8.650276270888305,-1.5307270574438696
1.55,100.35468272351157,8.648430148523376,-1.5405551712717351
1.56,100.35354441380537,8.646572838872492,-1.5503811770757105
1.57,100.35240609118846,8.644704344215848,-1.5602050620972574
1.58,100.35126775566039,8.642824666848172,-1.5700268135802733
1.59,100.35012940722075,8.640933809078847,-1.5798464187706192
1.6,100.34899104586908,8.639031773231752,-1.589663864916871
1.61,100.34785267160495,8.637118561645353,-1.5994791392698464
1.62,100.34671428442792,8.635194176672687,-1.6092922290827445
1.6300000000000001,100.34557588433755,8.633258620681376,-1.6191031216110388
1.6400000000000001,100.34443747133339,8.63131189605355,-1.6289118041128614
1.6500000000000001,100.34329904541502,8.629354005185949,-1.6387182638485311
1.6600000000000001,100.34216060658198,8.627384950489828,-1.6485224880810596
1.67,100.34102215483385,8.625404734391031,-1.6583244640756762
1.68,100.33988369017018,8.62341335932994,-1.6681241791002148
1.69,100.33874521259052,8.621410827761453,-1.6779216204251286
1.7,100.33760672209445,8.619397142155073,-1.6877167753231397
1.71,100.33646821868152,8.617372304994817,-1.697509631069624
1.72,100.33532970235129,8.615336318779246,-1.7073001749425043
1.73,100.33419117310332,8.61328918602146,-1.717088394222267
1.74,100.33305263093719,8.611230909249121,-1.7268742761918583
1.75,100.33191407585244,8.609161491004377,-1.7366578081370645
1.76,100.33077550784863,8.607080933843934,-1.746438977346164
1.77,100.32963692692532,8.604989240339021,-1.756217771110066
1.78,100.32849833308208,8.602886413075431,-1.7659941767222047
1.79,100.32735972631846,8.600772454653423,-1.7757681814789221
1.8,100.32622110663402,8.598647367687805,-1.785539772679119
1.81,100.32508247402833,8.596511154807935,-1.79530893762427
1.82,100.32394382850094,8.594363818657627,-1.8050756636188083
1.83,100.32280517005142,8.592205361895267,-1.8148399379696534
1.84,100.32166649867933,8.590035787193733,-1.8246017479865932
1.85,100.32052781438422,8.587855097240377,-1.8343610809823019
1.86,100.31938911716566,8.585663294737111,-1.8441179242719878
1.87,100.3182504070232,8.583460382400327,-1.8538722651737802
1.8800000000000001,100.31711168395641,8.581246362960922,-1.8636240910086208
1.8900000000000001,100.31597294796484,8.579021239164254,-1.8733733891004023
1.9000000000000001,100.31483419904805,8.576785013770243,-1.8831201467756218
1.9100000000000001,100.31369543720561,8.574537689553264,-1.89286435136376
1.92,100.31255666243707,8.57227926930219,-1.902605990197178
1.93,100.311417874742,8.57000975582038,-1.9123450506111326
1.94,100.31027907411996,8.567729151925672,-1.922081519943794
1.95,100.3091402605705,8.56543746045039,-1.9318153855362612
1.96,100.30800143409319,8.563134684241339,-1.9415466347325807
