s,x,y
0.0,7.2,-2.821586225235502e-14
0.05,7.198873978721857,-0.04998731915280104
0.1,7.197747957443714,-0.09997463830557386
0.15000000000000002,7.19662193616557,-0.14996195745834673
0.2,7.195019791524214,-0.1999325586116322
0.25,7.192636978064806,-0.24987574833773668
0.30000000000000004,7.190254164605399,-0.2998189380638412
0.35000000000000003,7.187871351145992,-0.34976212778994564
0.4,7.1845362958126096,-0.39964787510903627
0.45,7.180898197452803,-0.44951534186166336
0.5,7.177260099092995,-0.4993828086142904
0.55,7.173447537483273,-0.5492353394702587
0.6000000000000001,7.168556455584415,-0.5989955375994731
0.65,7.163665373685557,-0.6487557357286874
0.7000000000000001,7.158774291786699,-0.6985159338579017
0.75,7.153232272178332,-0.7482038733805126
0.8,7.147091300726637,-0.7978253250887151
0.8500000000000001,7.140950329274942,-0.8474467767969176
0.9,7.134809357823246,-0.8970682285051199
0.9500000000000001,7.127542919957096,-0.9465360027560895
1.0,7.120155943606615,-0.995987318010564
1.05,7.112768967256133,-1.0454386332650385
1.1,7.105026188176618,-1.0948322158744925
1.1500000000000001,7.096397879792041,-1.1440821122644407
1.2000000000000002,7.087769571407463,-1.193332008654389
1.25,7.079141263022887,-1.242581905044337
1.3,7.069683800086561,-1.2916757663597933
1.35,7.05981961778741,-1.3406930888852957
1.4000000000000001,7.0499554354882585,-1.3897104114107979
1.4500000000000002,7.040022286648699,-1.4387129504143885
1.5,7.02892847035677,-1.487466691194773
1.55,7.017834654064841,-1.5362204319751576
1.6,7.006740837772912,-1.5849741727555422
1.6500000000000001,6.995106411697155,-1.633597727224374
1.7000000000000002,6.982789979189402,-1.6820570451135266
1.75,6.9704735466816485,-1.7305163630026792
1.8,6.958157114173895,-1.7789756808918318
1.85,6.944833387650968,-1.8271654546827572
1.9000000000000001,6.931302130120318,-1.8752996947789633
1.9500000000000002,6.917770872589667,-1.9234339348751694
2.0,6.9039777742640185,-1.971491001662738
2.0500000000000003,6.889240251390936,-2.0192697147007155
2.1,6.874502728517853,-2.0670484277386922
2.15,6.859765205644771,-2.1148271407766694
2.2,6.844302488065521,-2.162372137599713
2.25,6.82836802260343,-2.2097650992125666
2.3000000000000003,6.812433557141338,-2.2571580608254203
2.35,6.796499091679246,-2.304551022438274
2.4000000000000004,6.779383005017431,-2.3515300882449224
2.45,6.762261676895423,-2.39850731808384
2.5,6.745140348773414,-2.445484547922758
2.5500000000000003,6.727564836102609,-2.4922897449189017
2.6,6.709267476049163,-2.53882152561849
2.6500000000000004,6.690970115995719,-2.585353306318079
2.7,6.672672755942274,-2.6318850870176673
2.75,6.653469769676831,-2.6780475385293947
2.8000000000000003,6.634007952368597,-2.724104434506663
2.85,6.614546135060363,-2.770161330483931
2.9000000000000004,6.594888276882473,-2.8161324660592393
2.95,6.574274313622418,-2.8616853421343356
3.0,6.553660350362362,-2.9072382182094314
3.0500000000000003,6.533046387102307,-2.952791094284528
3.1,6.511790551778729,-2.998043723710872
3.1500000000000004,6.490037482708315,-3.043063763537796
3.2,6.468284413637902,-3.08808380336472
3.25,6.4465313445674886,-3.1331038431916443
3.3000000000000003,6.423700500530699,-3.1775862951808445
3.35,6.400822086380996,-3.222045019476472
3.4000000000000004,6.377943672231292,-3.2665037437721
3.45,6.354673258845974,-3.310754469459902
3.5,6.3306839722329284,-3.354623754019798
3.5500000000000003,6.306694685619883,-3.3984930385796943
3.6,6.282705399006838,-3.4423623231395903
3.6500000000000004,6.257895514468405,-3.4857693762089452
3.7,6.232810530737781,-3.5290214696985585
3.75,6.207725547007155,-3.572273563188172
3.8000000000000003,6.182483031158427,-3.615431625426285
3.85,6.156318218786197,-3.65803916693628
3.9000000000000004,6.1301534064139656,-3.7006467084462753
3.95,6.103988594041735,-3.7432542499562707
4.0,6.077245624066553,-3.785496660099586
4.05,6.050017534620822,-3.8274326964541965
4.1000000000000005,6.022789445175091,-3.8693687328088084
4.15,5.99556135572936,-3.9113047691634195
4.2,5.967347339470157,-3.952582894238673
4.25,5.939073197140965,-3.99382089704614
4.3,5.910799054811775,-4.035058899853606
4.3500000000000005,5.882173076552069,-4.076049110645348
4.4,5.852870767255695,-4.116562993079641
4.45,5.823568457959322,-4.157076875513933
4.5,5.794266148662948,-4.197590757948226
4.55,5.764213906469894,-4.237547742130872
4.6000000000000005,5.733901966534552,-4.277311875434093
4.65,5.703590026599212,-4.317076008737313
4.7,5.6731351960499845,-4.356728348589588
4.75,5.641832800490075,-4.395717578284607
4.800000000000001,5.610530404930165,-4.434706807979627
4.8500000000000005,5.579228009370255,-4.473696037674646
4.9,5.5473949945352565,-4.512248174325483
4.95,5.515121944921582,-4.550437836128558
5.0,5.4828488953079075,-4.5886274979316335
5.050000000000001,5.450575845694232,-4.62681715973471
5.1000000000000005,5.417400106123293,-4.664224313180606
5.15,5.384176818056918,-4.701590248603911
5.2,5.3509535299905435,-4.7389561840272165
5.25,5.317401141910846,-4.776022010850502
5.300000000000001,5.283248632108525,-4.812540582484705
5.3500000000000005,5.249096122306204,-4.849059154118907
5.4,5.214943612503884,-4.885577725753111
5.45,5.180101967901124,-4.921435371349065
5.5,5.145041840900462,-4.957083477816273
5.550000000000001,5.109981713899799,-4.992731584283482
5.6000000000000005,5.074775226729254,-5.028232078061838
5.65,5.0388296612220085,-5.06298716862947
5.7,5.002884095714763,-5.097742259197102
5.75,4.966938530207518,-5.132497349764734
5.800000000000001,4.93049931031774,-5.166728857659642
5.8500000000000005,4.893691045119919,-5.200568946505964
5.9,4.856882779922099,-5.234409035352285
5.95,4.820074514724279,-5.268249124198606
6.0,4.782443580770928,-5.30117148572749
6.050000000000001,4.744795900438553,-5.334075165849802
6.1000000000000005,4.707148220106179,-5.366978845972113
6.15,4.6691834465851345,-5.399510371643648
6.2,4.630720166684764,-5.431456828400317
6.25,4.592256886784393,-5.463403285156986
6.300000000000001,4.553793606884022,-5.495349741913656
6.3500000000000005,4.514698557413262,-5.526515790447904
6.4,4.475444009456598,-5.5574848147256874
6.45,4.436189461499934,-5.588453839003471
6.5,4.3967747483444946,-5.619214511333317
6.550000000000001,4.356753764396602,-5.649186512331627
6.6000000000000005,4.316732780448712,-5.679158513329936
6.65,4.276711796500821,-5.709130514328246
6.7,4.236231002122105,-5.738472171614095
6.75,4.1954688990929885,-5.767428189238134
6.800000000000001,4.154706796063871,-5.796384206862174
6.8500000000000005,4.113921239903755,-5.825306313594569
6.9,4.072443803533202,-5.853228030449495
6.95,4.030966367162647,-5.881149747304421
7.0,3.9894889307920933,-5.9090714641593465
7.050000000000001,3.947704122651832,-5.936523951141562
7.1000000000000005,3.9055375911976875,-5.963393704120081
7.15,3.863371059743543,-5.9902634570985995
7.2,3.8212045282893983,-6.017133210077119
7.25,3.7784681676302663,-6.043083418564705
7.300000000000001,3.73563921527044,-6.068884210020778
