pitch,fitted_clearance,plot_clearance
0.3,-0.020136173334152963,0.0
0.31,-0.01301659656212556,0.01000000000000002
0.32,-0.005897019790098157,0.02000000000000004
0.33,0.0012225569819292181,0.030000000000000016
0.34,0.008342133753956621,0.040000000000000036
0.35,0.015461710525983968,0.049999999999999975
0.36,0.022581287298011343,0.059999999999999956
0.37,0.029700864070038746,0.06999999999999998
0.38,0.03682044084206615,0.07999999999999999
0.39,0.04394001761409355,0.09000000000000001
0.4,0.051059594386120954,0.10000000000000003
0.41,0.0581791711581483,0.10999999999999997
0.42,0.0652987479301757,0.12
0.43,0.07241832470220311,0.13
0.44,0.07953790147423051,0.14000000000000004
0.45,0.08665747824625786,0.14999999999999997
0.46,0.09377705501828526,0.15999999999999998
0.47,0.10089663179031261,0.16999999999999993
0.48,0.10801620856234001,0.17999999999999994
0.49,0.11513578533436741,0.18999999999999997
0.5,0.12225536210639482,0.19999999999999998
0.51,0.12937493887842222,0.21
0.52,0.13649451565044962,0.22000000000000003
0.53,0.14361409242247702,0.23000000000000004
0.54,0.15073366919450437,0.24
0.55,0.15785324596653177,0.25
